Filename,Path,Include,Rename
02_04_20250529_173849,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\02_04_20250529_173849.vsi,True,
01_02_20250602_075224,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_02_20250602_075224.vsi,True,
01_05_20250529_150020,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_05_20250529_150020.vsi,True,
02_01_20250529_155808,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\02_01_20250529_155808.vsi,True,
01_04_20250529_142744,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_04_20250529_142744.vsi,True,
02_03_20250602_105415,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\02_03_20250602_105415.vsi,True,
01_05_20250528_094910,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_05_20250528_094910.vsi,True,
02_01_20250528_105706,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\02_01_20250528_105706.vsi,True,
01_02_20250528_082605,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_02_20250528_082605.vsi,True,
01_03_20250602_082132,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_03_20250602_082132.vsi,True,
